"Scenario","Status","Correlation","IntelligenceStatus","Causality","UnknownCount","EvidenceCount","Result"
"VS001","INTERPRETED","DAY34-VS001-LIVE","READY_FOR_REVIEW","NOT_ESTABLISHED","28","1","REVIEW"
"VS002","INTERPRETED","DAY34-VS002-LIVE","READY_FOR_REVIEW","NOT_ESTABLISHED","28","1","REVIEW"
"VS003","INTERPRETED","DAY34-VS003-LIVE","READY_FOR_REVIEW","NOT_ESTABLISHED","28","1","REVIEW"
"VS004","INTERPRETED","DAY34-VS004-LIVE","READY_FOR_REVIEW","NOT_ESTABLISHED","28","1","REVIEW"
"VS005","INTERPRETED","DAY34-VS005-LIVE","READY_FOR_REVIEW","NOT_ESTABLISHED","28","1","REVIEW"
"VS006","INTERPRETED","DAY34-VS006-LIVE","READY_FOR_REVIEW","NOT_ESTABLISHED","28","1","REVIEW"
"VS007","INTERPRETED","DAY34-VS007-LIVE","READY_FOR_REVIEW","NOT_ESTABLISHED","28","1","REVIEW"
"VS008","INTERPRETED","DAY34-VS008-LIVE","READY_FOR_REVIEW","NOT_ESTABLISHED","28","1","REVIEW"
"VS009","INTERPRETED","DAY34-VS009-LIVE","READY_FOR_REVIEW","NOT_ESTABLISHED","28","1","REVIEW"
"VS010","INTERPRETED","DAY34-VS010-LIVE","READY_FOR_REVIEW","NOT_ESTABLISHED","28","1","REVIEW"
"VS011","INTERPRETED","DAY34-VS011-LIVE","READY_FOR_REVIEW","NOT_ESTABLISHED","28","1","REVIEW"
"VS012","INTERPRETED","DAY34-VS012-LIVE","READY_FOR_REVIEW","NOT_ESTABLISHED","28","1","REVIEW"
