"Scenario","HTTPStatus","AskStatus","IntelligenceStatus","Causality","UnknownCount","EvidenceCount","CorrelationId","Result"
"VS001","200","INTERPRETED","READY_FOR_REVIEW","NOT_ESTABLISHED","28","1","DAY34-VS001-6fdfc04d-c29f-47a2-b15f-597b193e47d7","BLOCKED_UNTIL_ASSERTED"
"VS002","200","INTERPRETED","READY_FOR_REVIEW","NOT_ESTABLISHED","28","1","DAY34-VS002-f79311be-6df2-49b1-a31b-e31309f62007","BLOCKED_UNTIL_ASSERTED"
"VS003","200","INTERPRETED","READY_FOR_REVIEW","NOT_ESTABLISHED","28","1","DAY34-VS003-f7f37d3c-2450-4cde-b5c4-fdb654056015","BLOCKED_UNTIL_ASSERTED"
"VS004","200","INTERPRETED","READY_FOR_REVIEW","NOT_ESTABLISHED","28","1","DAY34-VS004-416ffb16-a4ef-413f-a053-b82bab4c9cce","BLOCKED_UNTIL_ASSERTED"
"VS005","200","INTERPRETED","READY_FOR_REVIEW","NOT_ESTABLISHED","28","1","DAY34-VS005-cce910de-9873-460d-b249-6090543b8eda","BLOCKED_UNTIL_ASSERTED"
"VS006","200","INTERPRETED","READY_FOR_REVIEW","NOT_ESTABLISHED","28","1","DAY34-VS006-6826930d-3fdc-43a1-b5b9-9a86e29af466","BLOCKED_UNTIL_ASSERTED"
"VS007","200","INTERPRETED","READY_FOR_REVIEW","NOT_ESTABLISHED","28","1","DAY34-VS007-ccf11b2d-3625-4009-9700-3e420ffa587e","BLOCKED_UNTIL_ASSERTED"
"VS008","200","INTERPRETED","READY_FOR_REVIEW","NOT_ESTABLISHED","28","1","DAY34-VS008-a838d994-6094-4715-bbf2-792af1f36b95","BLOCKED_UNTIL_ASSERTED"
"VS009","200","INTERPRETED","READY_FOR_REVIEW","NOT_ESTABLISHED","28","1","DAY34-VS009-c17f85be-bd01-441f-a629-7a6bf059e9c7","BLOCKED_UNTIL_ASSERTED"
"VS010","200","INTERPRETED","READY_FOR_REVIEW","NOT_ESTABLISHED","28","1","DAY34-VS010-ca3223fb-8fdd-4cd8-bf68-8cb3e3918436","BLOCKED_UNTIL_ASSERTED"
"VS011","200","INTERPRETED","READY_FOR_REVIEW","NOT_ESTABLISHED","28","1","DAY34-VS011-c15b9585-9027-40fb-980a-9a31ab12a59b","BLOCKED_UNTIL_ASSERTED"
"VS012","200","INTERPRETED","READY_FOR_REVIEW","NOT_ESTABLISHED","28","1","DAY34-VS012-158b5e54-74a2-4e98-a175-4c382e3859a7","BLOCKED_UNTIL_ASSERTED"
