lot_id,lot_identifier,product_version_id,manufacturing_site_id,manufactured_timestamp,traceability_status
LOT-001,GEN-26-001,PV-ASTER-C,SITE-RIVER,2026-01-21,complete
LOT-002,GEN-26-002,PV-ASTER-C,SITE-SUMMIT,2026-01-22,complete
LOT-003,GEN-26-003,PV-ASTER-C,SITE-RIVER,2026-01-23,complete
LOT-004,GEN-26-004,PV-ASTER-C,SITE-SUMMIT,2026-01-24,complete
LOT-005,GEN-26-005,PV-ASTER-C,SITE-RIVER,2026-01-25,complete
LOT-006,GEN-26-006,PV-ASTER-C,SITE-SUMMIT,2026-01-26,complete
LOT-007,GEN-26-007,PV-ASTER-C,SITE-RIVER,2026-01-27,complete
LOT-008,AFD-26-008,PV-ASTER-D,SITE-SUMMIT,2026-01-28,complete
LOT-009,AFD-26-009,PV-ASTER-D,SITE-RIVER,2026-01-29,complete
LOT-010,AFD-26-010,PV-ASTER-D,SITE-SUMMIT,2026-01-30,incomplete
LOT-011,AFD-26-011,PV-ASTER-D,SITE-RIVER,2026-01-31,complete
LOT-012,AFD-26-012,PV-ASTER-D,SITE-SUMMIT,2026-02-01,complete
LOT-013,AFD-26-013,PV-ASTER-D,SITE-RIVER,2026-02-02,incomplete
LOT-014,AFD-26-014,PV-ASTER-D,SITE-SUMMIT,2026-02-03,complete
LOT-015,GEN-26-015,PV-NIMBUS-B,SITE-RIVER,2026-02-04,complete
LOT-016,GEN-26-016,PV-NIMBUS-B,SITE-SUMMIT,2026-02-05,complete
LOT-017,GEN-26-017,PV-NIMBUS-B,SITE-RIVER,2026-02-06,incomplete
LOT-018,GEN-26-018,PV-NIMBUS-B,SITE-SUMMIT,2026-02-07,complete
