complaint_id,complaint_identifier,product_version_id,source_product_version,lot_id,event_timestamp,recorded_timestamp,ingestion_timestamp,failure_mode,narrative,duplicate_candidate,data_quality_status
CMP-0001,QMS-00001,PV-ASTER-C,Product-100 / Revision C,,2025-11-18,2025-11-23,2025-11-27,shutdown,Intermittent shutdown before Rev B,False,missing_lot
CMP-0002,QMS-00002,PV-ASTER-C,Product-100 / Revision C,,2025-12-04,2025-12-10,2025-12-15,shutdown,Intermittent shutdown before Rev B,False,missing_lot
CMP-0003,QMS-00003,PV-ASTER-C,Product-100 / Revision C,,2026-01-08,2026-01-15,2026-01-21,shutdown,Intermittent shutdown before Rev B,False,missing_lot
CMP-0004,QMS-00004,PV-ASTER-D,PRD100 Rev D,LOT-014,2026-02-05,2026-02-13,2026-02-16,shutdown,Intermittent shutdown during field use,False,reviewed
CMP-0005,QMS-00005,PV-ASTER-D,PRD100 Rev D,LOT-010,2026-02-06,2026-02-10,2026-02-14,shutdown,Intermittent shutdown during field use,False,reviewed
CMP-0006,QMS-00006,PV-ASTER-D,PRD100 Rev D,LOT-012,2026-02-07,2026-02-12,2026-02-17,shutdown,Intermittent shutdown during field use,False,reviewed
CMP-0007,QMS-00007,PV-ASTER-D,PRD100 Rev D,,2026-02-08,2026-02-14,2026-02-20,shutdown,Intermittent shutdown during field use,False,missing_lot
CMP-0008,QMS-00008,PV-ASTER-D,PRD100 Rev D,LOT-010,2026-02-09,2026-02-16,2026-02-19,shutdown,Intermittent shutdown during field use,False,reviewed
CMP-0009,QMS-00009,PV-ASTER-D,PRD100 Rev D,LOT-014,2026-02-10,2026-02-18,2026-02-22,shutdown,Intermittent shutdown during field use,False,reviewed
CMP-0010,QMS-00010,PV-ASTER-D,PRD100 Rev D,LOT-012,2026-02-11,2026-02-15,2026-02-20,shutdown,Intermittent shutdown during field use,False,reviewed
CMP-0011,QMS-00011,PV-ASTER-D,PRD100 Rev D,LOT-013,2026-02-12,2026-02-17,2026-02-23,shutdown,Intermittent shutdown during field use,False,reviewed
CMP-0012,QMS-00012,PV-ASTER-D,PRD100 Rev D,,2026-02-13,2026-02-19,2026-02-22,shutdown,Intermittent shutdown during field use,False,missing_lot
CMP-0013,QMS-00013,PV-ASTER-D,PRD100 Rev D,LOT-012,2026-02-14,2026-02-21,2026-02-25,shutdown,Intermittent shutdown during field use,False,reviewed
CMP-0014,QMS-00014,PV-ASTER-D,PRD100 Rev D,LOT-009,2026-02-15,2026-02-23,2026-02-28,shutdown,Intermittent shutdown during field use,False,reviewed
CMP-0015,QMS-00015,PV-ASTER-D,PRD100 Rev D,LOT-012,2026-02-16,2026-02-20,2026-02-26,shutdown,Intermittent shutdown during field use,False,reviewed
CMP-0016,QMS-00016,PV-ASTER-D,PRD100 Rev D,LOT-009,2026-02-17,2026-02-22,2026-02-25,shutdown,Intermittent shutdown during field use,False,reviewed
CMP-0017,QMS-00017,PV-ASTER-D,PRD100 Rev D,LOT-010,2026-02-18,2026-02-24,2026-02-28,shutdown,Intermittent shutdown during field use,False,reviewed
CMP-0018,QMS-00018,PV-ASTER-D,PRD100 Rev D,LOT-012,2026-02-19,2026-02-26,2026-03-03,shutdown,Intermittent shutdown during field use,False,reviewed
CMP-0019,QMS-00019,PV-ASTER-D,PRD100 Rev D,LOT-008,2026-02-20,2026-02-28,2026-03-06,shutdown,Intermittent shutdown during field use,False,reviewed
CMP-0020,QMS-00020,PV-ASTER-D,PRD100 Rev D,LOT-008,2026-02-21,2026-02-25,2026-02-28,shutdown,Intermittent shutdown during field use,False,reviewed
CMP-0021,QMS-00021,PV-ASTER-D,PRD100 Rev D,LOT-008,2026-02-22,2026-02-27,2026-03-03,shutdown,Intermittent shutdown during field use,False,reviewed
CMP-0022,QMS-00022,PV-ASTER-D,PRD100 Rev D,LOT-013,2026-02-23,2026-03-01,2026-03-06,shutdown,Intermittent shutdown during field use,False,reviewed
CMP-0023,QMS-00023,PV-ASTER-D,PRD100 Rev D,LOT-013,2026-02-24,2026-03-03,2026-03-09,shutdown,Intermittent shutdown during field use,False,reviewed
CMP-0024,QMS-00024,PV-ASTER-D,PRD100 Rev D,LOT-012,2026-02-25,2026-03-05,2026-03-08,shutdown,Intermittent shutdown during field use,False,reviewed
CMP-0025,QMS-00025,PV-ASTER-D,PRD100 Rev D,,2026-02-26,2026-03-02,2026-03-06,shutdown,Intermittent shutdown during field use,False,missing_lot
CMP-0026,QMS-00026,PV-ASTER-D,PRD100 Rev D,LOT-013,2026-02-27,2026-03-04,2026-03-09,shutdown,Intermittent shutdown during field use,False,reviewed
CMP-0027,QMS-00027,PV-ASTER-D,PRD100 Rev D,LOT-008,2026-02-28,2026-03-06,2026-03-12,shutdown,Intermittent shutdown during field use,False,reviewed
CMP-0028,QMS-00028,PV-ASTER-D,PRD100 Rev D,LOT-009,2026-03-01,2026-03-08,2026-03-11,shutdown,Intermittent shutdown during field use,False,reviewed
CMP-0029,QMS-00029,PV-ASTER-D,PRD100 Rev D,LOT-013,2026-03-02,2026-03-10,2026-03-14,shutdown,Intermittent shutdown during field use,False,reviewed
CMP-0030,QMS-00030,PV-ASTER-D,PRD100 Rev D,LOT-009,2026-03-03,2026-03-07,2026-03-12,shutdown,Intermittent shutdown during field use,False,reviewed
CMP-0031,QMS-00031,PV-ASTER-D,PRD100 Rev D,LOT-011,2026-03-04,2026-03-09,2026-03-15,shutdown,Intermittent shutdown during field use,False,reviewed
CMP-0032,QMS-00032,PV-ASTER-D,PRD100 Rev D,LOT-010,2026-03-05,2026-03-11,2026-03-14,shutdown,Intermittent shutdown during field use,False,reviewed
CMP-0033,QMS-00033,PV-ASTER-D,PRD100 Rev D,LOT-013,2026-03-06,2026-03-13,2026-03-17,shutdown,Intermittent shutdown during field use,False,reviewed
CMP-0034,QMS-00034,PV-ASTER-D,PRD100 Rev D,LOT-011,2026-03-07,2026-03-15,2026-03-20,shutdown,Intermittent shutdown during field use,False,reviewed
