risk_id,risk_identifier,product_id,description
RISK-001,RISK-001,PRD-ASTER-100,Synthetic risk 1
RISK-002,RISK-002,PRD-ASTER-100,Synthetic risk 2
RISK-003,RISK-003,PRD-ASTER-100,Synthetic risk 3
RISK-004,RISK-004,PRD-ASTER-100,Synthetic risk 4
RISK-005,RISK-005,PRD-ASTER-100,Synthetic risk 5
RISK-006,RISK-006,PRD-ASTER-100,Synthetic risk 6
RISK-007,RISK-007,PRD-ASTER-100,Synthetic risk 7
RISK-008,RISK-008,PRD-ASTER-100,Synthetic risk 8
RISK-009,RISK-009,PRD-ASTER-100,Synthetic risk 9
RISK-010,RISK-010,PRD-ASTER-100,Synthetic risk 10
RISK-011,RISK-011,PRD-NIMBUS-200,Synthetic risk 11
RISK-012,RISK-012,PRD-NIMBUS-200,Synthetic risk 12
RISK-013,RISK-013,PRD-NIMBUS-200,Synthetic risk 13
RISK-014,RISK-014,PRD-NIMBUS-200,Synthetic risk 14
RISK-015,RISK-015,PRD-NIMBUS-200,Synthetic risk 15
